utilizacao,tx_juros,vr_parcelas,log_renda_anual,idx_div_renda,pont_mutuario,saldo_rotativo,tx_util_credito,tx_juros_faixa,vr_parcelas_faixa,log_renda_anual_faixa,idx_div_renda_faixa,pont_mutuario_faixa,log_saldo_rotativo,log_saldo_rotativo_faixa,tx_util_credito_faixa,devedor,atende_criterios,consult_mutuario_cred,nro_reg_deprec,0-1__utilizacao_all_other,0-1__utilizacao_credit_card,0-1__utilizacao_debt_consolidation,0-1__utilizacao_educational,0-1__utilizacao_home_improvement,0-1__utilizacao_major_purchase,0-1__utilizacao_small_business,ord__tx_juros_faixa,ord__vr_parcelas_faixa,ord__log_renda_anual_faixa,ord__idx_div_renda_faixa,ord__pont_mutuario_faixa,ord__log_saldo_rotativo_faixa,ord__tx_util_credito_faixa
debt_consolidation,13.0,360.0,10.0,22.0,677.0,13846.0,71.0,"(12.0, 14.0]","(260.0, 390.0]","(9.0, 10.0]","(21.0, 22.0]","(676, 678]",4.0,"(3.0, 6.0]","(60.0, 75.0]",0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,20.0,4.0,1.0,4.0
debt_consolidation,13.0,254.0,12.0,9.0,662.0,5122.0,18.2,"(12.0, 14.0]","(130.0, 260.0]","(11.0, 12.0]","(8.0, 9.0]","(660, 662]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0
debt_consolidation,9.0,316.0,11.0,15.0,772.0,6068.0,16.7,"(8.0, 10.0]","(260.0, 390.0]","(10.0, 11.0]","(14.0, 15.0]","(770, 772]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,19.0,1.0,1.0
small_business,8.0,93.0,12.0,6.0,752.0,3021.0,4.8,"(6.0, 8.0]","(0.0, 130.0]","(11.0, 12.0]","(5.0, 6.0]","(750, 752]",3.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,17.0,0.0,0.0
debt_consolidation,9.0,210.0,10.0,10.0,727.0,6282.0,44.6,"(8.0, 10.0]","(130.0, 260.0]","(9.0, 10.0]","(9.0, 10.0]","(726, 728]",4.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,14.0,1.0,2.0
major_purchase,11.0,328.0,11.0,13.0,702.0,5394.0,53.4,"(10.0, 12.0]","(260.0, 390.0]","(10.0, 11.0]","(12.0, 13.0]","(700, 702]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,11.0,9.0,1.0,3.0
all_other,13.0,78.0,11.0,1.0,672.0,2211.0,88.4,"(12.0, 14.0]","(0.0, 130.0]","(10.0, 11.0]","(0.0, 1.0]","(670, 672]",3.0,"(0.0, 3.0]","(75.0, 90.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,5.0
credit_card,9.0,477.0,12.0,7.0,647.0,7586.0,52.7,"(8.0, 10.0]","(390.0, 520.0]","(11.0, 12.0]","(6.0, 7.0]","(646, 648]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,0.0,1.0,3.0
debt_consolidation,10.0,584.0,10.0,4.0,712.0,8311.0,59.8,"(8.0, 10.0]","(520.0, 650.0]","(9.0, 10.0]","(3.0, 4.0]","(710, 712]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,11.0,1.0,3.0
major_purchase,15.0,174.0,11.0,3.0,667.0,591.0,84.4,"(14.0, 16.0]","(130.0, 260.0]","(10.0, 11.0]","(2.0, 3.0]","(666, 668]",3.0,"(0.0, 3.0]","(75.0, 90.0]",0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,5.0
all_other,8.0,188.0,11.0,16.0,772.0,29797.0,23.2,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(15.0, 16.0]","(770, 772]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,19.0,1.0,1.0
all_other,9.0,474.0,11.0,3.0,647.0,5656.0,27.6,"(8.0, 10.0]","(390.0, 520.0]","(10.0, 11.0]","(2.0, 3.0]","(646, 648]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0
credit_card,14.000000000000002,340.0,12.0,8.0,662.0,21162.0,57.7,"(14.0, 16.0]","(260.0, 390.0]","(11.0, 12.0]","(7.0, 8.0]","(660, 662]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,1.0,1.0,3.0
credit_card,8.0,485.0,12.0,7.0,772.0,16931.0,34.6,"(6.0, 8.0]","(390.0, 520.0]","(11.0, 12.0]","(6.0, 7.0]","(770, 772]",4.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,19.0,1.0,2.0
debt_consolidation,12.0,320.0,11.0,9.0,672.0,4822.0,58.1,"(10.0, 12.0]","(260.0, 390.0]","(10.0, 11.0]","(8.0, 9.0]","(670, 672]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0,3.0,1.0,3.0
all_other,9.0,159.0,12.0,10.0,712.0,14354.0,36.6,"(8.0, 10.0]","(130.0, 260.0]","(11.0, 12.0]","(9.0, 10.0]","(710, 712]",4.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,11.0,1.0,2.0
all_other,8.0,155.0,11.0,1.0,802.0,1576.0,5.7,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(0.0, 1.0]","(800, 802]",3.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0
debt_consolidation,14.000000000000002,255.0,10.0,14.0,662.0,4175.0,51.5,"(14.0, 16.0]","(130.0, 260.0]","(9.0, 10.0]","(13.0, 14.0]","(660, 662]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,12.0,1.0,1.0,3.0
all_other,8.0,155.0,12.0,1.0,772.0,3164.0,13.7,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(0.0, 1.0]","(770, 772]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,1.0,0.0
all_other,8.0,155.0,12.0,4.0,802.0,85607.0,0.7,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(3.0, 4.0]","(800, 802]",5.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,20.0,1.0,0.0
debt_consolidation,8.0,157.0,12.0,1.0,742.0,9698.0,19.4,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(0.0, 1.0]","(740, 742]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,1.0,1.0
credit_card,10.0,275.0,10.0,6.0,692.0,8847.0,26.9,"(8.0, 10.0]","(260.0, 390.0]","(9.0, 10.0]","(5.0, 6.0]","(690, 692]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,1.0,1.0
home_improvement,8.0,155.0,12.0,1.0,772.0,6053.0,19.5,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(0.0, 1.0]","(770, 772]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,1.0,1.0
home_improvement,8.0,78.0,12.0,11.0,757.0,7274.0,13.1,"(6.0, 8.0]","(0.0, 130.0]","(11.0, 12.0]","(10.0, 11.0]","(756, 758]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,18.0,1.0,0.0
credit_card,9.0,158.0,11.0,16.0,757.0,66033.0,23.0,"(8.0, 10.0]","(130.0, 260.0]","(10.0, 11.0]","(15.0, 16.0]","(756, 758]",5.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,18.0,1.0,1.0
all_other,8.0,155.0,11.0,4.0,772.0,3660.0,6.8,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(3.0, 4.0]","(770, 772]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,19.0,1.0,0.0
credit_card,8.0,155.0,11.0,1.0,647.0,216.0,0.6,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(0.0, 1.0]","(646, 648]",2.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
credit_card,11.0,164.0,11.0,1.0,672.0,27185.0,16.1,"(10.0, 12.0]","(130.0, 260.0]","(10.0, 11.0]","(0.0, 1.0]","(670, 672]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0
debt_consolidation,10.0,161.0,11.0,8.0,707.0,28329.0,48.6,"(8.0, 10.0]","(130.0, 260.0]","(10.0, 11.0]","(7.0, 8.0]","(706, 708]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,10.0,1.0,3.0
home_improvement,9.0,160.0,12.0,12.0,717.0,60568.0,39.2,"(8.0, 10.0]","(130.0, 260.0]","(11.0, 12.0]","(11.0, 12.0]","(716, 718]",5.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,10.0,12.0,1.0,2.0
home_improvement,8.0,157.0,12.0,6.0,742.0,40934.0,26.3,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(5.0, 6.0]","(740, 742]",5.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,16.0,1.0,1.0
debt_consolidation,8.0,155.0,12.0,1.0,772.0,8379.0,16.9,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(0.0, 1.0]","(770, 772]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,1.0,1.0
small_business,9.0,95.0,10.0,15.0,752.0,3660.0,7.8,"(8.0, 10.0]","(0.0, 130.0]","(9.0, 10.0]","(14.0, 15.0]","(750, 752]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,17.0,1.0,0.0
credit_card,11.0,164.0,10.0,19.0,702.0,15840.0,47.1,"(10.0, 12.0]","(130.0, 260.0]","(9.0, 10.0]","(18.0, 19.0]","(700, 702]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0
credit_card,8.0,167.0,11.0,14.0,647.0,6844.0,14.4,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(13.0, 14.0]","(646, 648]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,1.0
educational,8.0,169.0,10.0,3.0,757.0,1321.0,16.5,"(6.0, 8.0]","(130.0, 260.0]","(9.0, 10.0]","(2.0, 3.0]","(756, 758]",3.0,"(0.0, 3.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,19.0,1.0,1.0
all_other,8.0,161.0,10.0,15.0,772.0,4737.0,23.9,"(6.0, 8.0]","(130.0, 260.0]","(9.0, 10.0]","(14.0, 15.0]","(770, 772]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,13.0,1.0,2.0
credit_card,9.0,159.0,11.0,10.0,722.0,23489.0,37.6,"(8.0, 10.0]","(130.0, 260.0]","(10.0, 11.0]","(9.0, 10.0]","(720, 722]",4.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
debt_consolidation,8.0,179.0,12.0,1.0,647.0,2817.0,10.2,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(0.0, 1.0]","(646, 648]",3.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,11.0,1.0,3.0
small_business,10.0,324.0,10.0,11.0,712.0,3534.0,54.4,"(8.0, 10.0]","(260.0, 390.0]","(9.0, 10.0]","(10.0, 11.0]","(710, 712]",4.0,"(3.0, 6.0]","(45.0, 60.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,11.0,0.0,2.0
small_business,11.0,814.0,11.0,4.0,757.0,2422.0,23.3,"(10.0, 12.0]","(780.0, 910.0]","(10.0, 11.0]","(3.0, 4.0]","(756, 758]",3.0,"(0.0, 3.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,20.0,0.0,6.0
educational,10.0,113.0,10.0,16.0,712.0,2864.0,41.1,"(8.0, 10.0]","(0.0, 130.0]","(9.0, 10.0]","(15.0, 16.0]","(710, 712]",3.0,"(0.0, 3.0]","(30.0, 45.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,15.0,17.0,1.0,0.0
debt_consolidation,16.0,95.0,11.0,13.0,802.0,3075.0,92.3,"(14.0, 16.0]","(0.0, 130.0]","(10.0, 11.0]","(12.0, 13.0]","(800, 802]",3.0,"(0.0, 3.0]","(90.0, 105.0]",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0
small_business,11.0,399.0,11.0,17.0,752.0,17214.0,8.1,"(10.0, 12.0]","(390.0, 520.0]","(10.0, 11.0]","(16.0, 17.0]","(750, 752]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,8.0,5.0,1.0,4.0
credit_card,12.0,40.0,10.0,1.0,662.0,1153.0,75.8,"(10.0, 12.0]","(0.0, 130.0]","(9.0, 10.0]","(0.0, 1.0]","(660, 662]",3.0,"(0.0, 3.0]","(75.0, 90.0]",0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,13.0,5.0,1.0,6.0
credit_card,13.0,678.0,12.0,10.0,682.0,41674.0,74.1,"(12.0, 14.0]","(650.0, 780.0]","(11.0, 12.0]","(9.0, 10.0]","(680, 682]",5.0,"(3.0, 6.0]","(60.0, 75.0]",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,11.0,1.0,4.0
credit_card,12.0,401.0,11.0,15.0,682.0,43039.0,93.4,"(10.0, 12.0]","(390.0, 520.0]","(10.0, 11.0]","(14.0, 15.0]","(680, 682]",5.0,"(3.0, 6.0]","(90.0, 105.0]",0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,5.0,1.0,4.0
all_other,10.0,205.0,11.0,8.0,712.0,3362.0,69.3,"(8.0, 10.0]","(130.0, 260.0]","(10.0, 11.0]","(7.0, 8.0]","(710, 712]",4.0,"(3.0, 6.0]","(60.0, 75.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0
debt_consolidation,12.0,398.0,11.0,7.0,682.0,11868.0,71.9,"(10.0, 12.0]","(390.0, 520.0]","(10.0, 11.0]","(6.0, 7.0]","(680, 682]",4.0,"(3.0, 6.0]","(60.0, 75.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0
all_other,8.0,155.0,11.0,3.0,772.0,2562.0,14.0,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(2.0, 3.0]","(770, 772]",3.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,4.0
all_other,10.0,113.0,10.0,1.0,682.0,1882.0,32.4,"(8.0, 10.0]","(0.0, 130.0]","(9.0, 10.0]","(0.0, 1.0]","(680, 682]",3.0,"(0.0, 3.0]","(30.0, 45.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,17.0,1.0,0.0
debt_consolidation,12.0,99.0,10.0,7.0,667.0,1064.0,70.9,"(10.0, 12.0]","(0.0, 130.0]","(9.0, 10.0]","(6.0, 7.0]","(666, 668]",3.0,"(0.0, 3.0]","(60.0, 75.0]",0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,6.0,1.0,2.0
credit_card,8.0,110.0,11.0,9.0,752.0,6432.0,6.0,"(6.0, 8.0]","(0.0, 130.0]","(10.0, 11.0]","(8.0, 9.0]","(750, 752]",4.0,"(3.0, 6.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,1.0,1.0
all_other,11.0,33.0,10.0,14.0,687.0,4485.0,36.9,"(10.0, 12.0]","(0.0, 130.0]","(9.0, 10.0]","(13.0, 14.0]","(686, 688]",4.0,"(3.0, 6.0]","(30.0, 45.0]",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,11.0,1.0,2.0
all_other,10.0,113.0,11.0,11.0,702.0,16310.0,20.5,"(8.0, 10.0]","(0.0, 130.0]","(10.0, 11.0]","(10.0, 11.0]","(700, 702]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,15.0,10.0,1.0,4.0
debt_consolidation,10.0,161.0,12.0,9.0,712.0,20969.0,40.2,"(8.0, 10.0]","(130.0, 260.0]","(11.0, 12.0]","(8.0, 9.0]","(710, 712]",4.0,"(3.0, 6.0]","(30.0, 45.0]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,17.0,0.0,0.0
debt_consolidation,14.000000000000002,341.0,10.0,17.0,707.0,22213.0,65.9,"(14.0, 16.0]","(260.0, 390.0]","(9.0, 10.0]","(16.0, 17.0]","(706, 708]",4.0,"(3.0, 6.0]","(60.0, 75.0]",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,20.0,0.0,0.0
home_improvement,8.0,156.0,12.0,6.0,752.0,2160.0,2.3,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(5.0, 6.0]","(750, 752]",3.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,18.0,1.0,1.0
credit_card,8.0,155.0,11.0,5.0,802.0,813.0,1.0,"(6.0, 8.0]","(130.0, 260.0]","(10.0, 11.0]","(4.0, 5.0]","(800, 802]",3.0,"(0.0, 3.0]","(0.0, 15.0]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,1.0,3.0
home_improvement,8.0,235.0,12.0,3.0,757.0,23678.0,24.4,"(6.0, 8.0]","(130.0, 260.0]","(11.0, 12.0]","(2.0, 3.0]","(756, 758]",4.0,"(3.0, 6.0]","(15.0, 30.0]",0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,5.0
